Date,High,Close,Open,Low
"Jan 25, 2018",11785.7,11259.4,11421.7,11057.4
"Jan 24, 2018",11501.4,11359.4,10903.4,10639.8
"Jan 23, 2018",11377.6,10868.4,10944.5,10129.7
"Jan 22, 2018",11966.4,10931.4,11633.1,10240.2
"Jan 21, 2018",12895.9,11600.1,12889.2,11288.2
"Jan 20, 2018",13103,12899.2,11656.2,11656.2
"Jan 19, 2018",11992.8,11607.4,11429.8,11172.1
"Jan 18, 2018",12107.3,11474.9,11198.8,10942.5
"Jan 17, 2018",11678,11188.6,11431.1,9402.29
"Jan 16, 2018",13843.1,11490.5,13836.1,10194.9
"Jan 15, 2018",14445.5,13819.8,13767.3,13641.7
"Jan 14, 2018",14511.8,13772,14370.8,13268
"Jan 13, 2018",14659.5,14360.2,13952.4,13952.4
"Jan 12, 2018",14229.9,13980.6,13453.9,13158.1
"Jan 11, 2018",15018.8,13405.8,14968.2,13105.9
"Jan 10, 2018",14973.3,14973.3,14588.5,13691.2
"Jan 09, 2018",15497.5,14595.4,15123.7,14424
"Jan 08, 2018",16537.9,15170.1,16476.2,14208.2
"Jan 07, 2018",17579.6,16477.6,17527.3,16087.7
"Jan 06, 2018",17712.4,17527,17462.1,16764.6
"Jan 05, 2018",17705.2,17429.5,15477.2,15202.8
"Jan 04, 2018",15739.7,15599.2,15270.7,14522.2
"Jan 03, 2018",15572.8,15201,14978.2,14844.5
"Jan 02, 2018",15444.6,14982.1,13625,13163.6
"Jan 01, 2018",14112.2,13657.2,14112.2,13154.7
"Dec 31, 2017",14377.4,14156.4,12897.7,12755.6
"Dec 30, 2017",14681.9,12952.2,14681.9,12350.1
"Dec 29, 2017",15279,14656.2,14695.8,14307
"Dec 28, 2017",15888.4,14606.5,15864.1,13937.3
"Dec 27, 2017",16930.9,15838.5,16163.5,15114.3
"Dec 26, 2017",16461.2,16099.8,14036.6,14028.9
"Dec 25, 2017",14593,14026.6,13995.9,13448.9
"Dec 24, 2017",14626,13925.8,14608.2,12747.7
"Dec 23, 2017",15603.2,14699.2,13948.7,13828.8
"Dec 22, 2017",15943.4,13831.8,15898,11833
"Dec 21, 2017",17567.7,15802.9,16642.4,15342.7
"Dec 20, 2017",17934.7,16624.6,17760.3,16077.7
"Dec 19, 2017",19177.8,17776.7,19118.3,17275.4
"Dec 18, 2017",19371,19114.2,19106.4,18355.9
"Dec 17, 2017",20089,19140.8,19475.8,18974.1
"Dec 16, 2017",19716.7,19497.4,17760.3,17515.3
"Dec 15, 2017",18154.1,17706.9,16601.3,16601.3
"Dec 14, 2017",17085.8,16564,16384.6,16185.9
"Dec 13, 2017",17653.1,16408.2,17500,16039.7
"Dec 12, 2017",17781.8,17415.4,16919.8,16571.6
"Dec 11, 2017",17513.9,16936.8,15427.4,15404.8
"Dec 10, 2017",15850.6,15455.4,15168.4,13226.6
"Dec 09, 2017",16783,15178.2,16523.3,13674.9
"Dec 08, 2017",18353.4,16569.4,17802.9,14336.9
"Dec 07, 2017",17899.7,17899.7,14266.1,14057.3
"Dec 06, 2017",14369.1,14291.5,11923.4,11923.4
"Dec 05, 2017",12032,11916.7,11685.7,11604.6
"Dec 04, 2017",11657.2,11657.2,11315.4,11081.8
"Dec 03, 2017",11858.7,11323.2,11082.7,10862
"Dec 02, 2017",11320.2,11074.6,10978.3,10905.1
"Dec 01, 2017",11046.7,10975.6,10198.6,9694.65
"Nov 30, 2017",10801,10233.6,9906.79,9202.05
"Nov 29, 2017",11517.4,9888.61,10077.4,9601.03
"Nov 28, 2017",10125.7,10058.8,9823.43,9736.3
"Nov 27, 2017",9818.35,9818.35,9352.72,9352.72
"Nov 26, 2017",9522.93,9330.55,8789.04,8775.59
"Nov 25, 2017",8790.92,8790.92,8241.71,8191.15
"Nov 24, 2017",8374.16,8253.69,8074.02,7940.93
"Nov 23, 2017",8267.4,8038.77,8232.38,8038.77
"Nov 22, 2017",8302.26,8253.55,8077.95,8075.47
"Nov 21, 2017",8348.66,8071.26,8205.74,7762.71
"Nov 20, 2017",8336.86,8200.64,8039.07,7949.36
"Nov 19, 2017",8101.91,8036.49,7766.03,7694.1
"Nov 18, 2017",7884.99,7790.15,7697.21,7463.44
"Nov 17, 2017",8004.59,7708.99,7853.57,7561.09
"Nov 16, 2017",7967.38,7871.69,7323.24,7176.58
"Nov 15, 2017",7342.25,7315.54,6634.76,6634.76
"Nov 14, 2017",6764.98,6635.75,6561.48,6461.75
"Nov 13, 2017",6811.19,6559.49,5938.25,5844.29
"Nov 12, 2017",6625.05,5950.07,6295.45,5519.01
"Nov 11, 2017",6873.15,6357.6,6618.61,6204.22
"Nov 10, 2017",7312,6618.14,7173.73,6436.87
"Nov 09, 2017",7446.83,7143.58,7446.83,7101.52
"Nov 08, 2017",7776.42,7459.69,7141.38,7114.02
"Nov 07, 2017",7253.32,7144.38,7023.1,7023.1
"Nov 06, 2017",7445.77,7022.76,7403.22,7007.31
"Nov 05, 2017",7617.48,7407.41,7404.52,7333.19
"Nov 04, 2017",7492.86,7379.95,7164.48,7031.28
"Nov 03, 2017",7461.29,7207.76,7087.53,7002.94
"Nov 02, 2017",7367.33,7078.5,6777.77,6758.72
"Nov 01, 2017",6767.31,6767.31,6440.97,6377.88
"Oct 31, 2017",6470.43,6468.4,6132.02,6103.33
"Oct 30, 2017",6214.99,6130.53,6114.85,6040.85
"Oct 29, 2017",6255.71,6153.85,5754.44,5724.58
"Oct 28, 2017",5876.72,5753.09,5787.82,5689.19
"Oct 27, 2017",5988.39,5780.9,5899.74,5728.82
"Oct 26, 2017",5976.8,5904.83,5747.95,5721.22
"Oct 25, 2017",5754.33,5750.8,5524.6,5397.88
"Oct 24, 2017",5935.52,5526.64,5935.52,5504.18
"Oct 23, 2017",6075.59,5930.32,6006,5732.47
"Oct 22, 2017",6076.26,6008.42,6036.66,5792.34
"Oct 21, 2017",6194.88,6031.6,5996.79,5965.07
"Oct 20, 2017",6060.11,6011.45,5708.11,5627.23
"Oct 19, 2017",5744.35,5708.52,5583.74,5531.06
